"","age","sex","N","year"
"1",0,"male",17799.5344553239,2010
"2",1,"male",73848.4615756638,2010
"3",5,"male",93929.1331485526,2010
"4",10,"male",93149.6970153712,2010
"5",15,"male",93601.1497118078,2010
"6",20,"male",81354.4590873762,2010
"7",25,"male",72906.8059572539,2010
"8",30,"male",68628.6645262547,2010
"9",35,"male",66251.9374499872,2010
"10",40,"male",54202.7219588661,2010
"11",45,"male",44844.3284992661,2010
"12",50,"male",36934.444755152,2010
"13",55,"male",27140.7160694005,2010
"14",60,"male",20284.8233650893,2010
"15",65,"male",14884.1560669627,2010
"16",70,"male",11517.0753749902,2010
"17",75,"male",7625.70181317267,2010
"18",80,"male",4679.9614467581,2010
"19",85,"male",4071.64707502009,2010
"20",0,"female",16835.1881734199,2010
"21",1,"female",71727.2053806846,2010
"22",5,"female",90948.3186939654,2010
"23",10,"female",90793.0135345649,2010
"24",15,"female",94996.6235301463,2010
"25",20,"female",88442.1243413122,2010
"26",25,"female",81592.7344837617,2010
"27",30,"female",77663.4273093348,2010
"28",35,"female",73253.0553833439,2010
"29",40,"female",60975.7056932139,2010
"30",45,"female",49363.680664484,2010
"31",50,"female",40563.3398200707,2010
"32",55,"female",29614.2740599202,2010
"33",60,"female",23069.6784490681,2010
"34",65,"female",16943.0550900571,2010
"35",70,"female",13386.1966384693,2010
"36",75,"female",9003.40507062235,2010
"37",80,"female",6167.30920845529,2010
"38",85,"female",5881.39603241682,2010
"39",0,"male",17144.3347157213,2019
"40",1,"male",77421.4574279352,2019
"41",5,"male",99781.0355609638,2019
"42",10,"male",100543.317645918,2019
"43",15,"male",99647.4610235811,2019
"44",20,"male",102764.292260274,2019
"45",25,"male",103035.652757218,2019
"46",30,"male",92401.6075936188,2019
"47",35,"male",86416.1282480348,2019
"48",40,"male",77373.1831425717,2019
"49",45,"male",69621.8812397106,2019
"50",50,"male",57197.4817550977,2019
"51",55,"male",44515.8314420021,2019
"52",60,"male",36206.1955864216,2019
"53",65,"male",25696.400783948,2019
"54",70,"male",18193.6526685021,2019
"55",75,"male",12108.1418686318,2019
"56",80,"male",7338.2352340007,2019
"57",85,"male",6213.54723023152,2019
"58",0,"female",17102.3662242029,2019
"59",1,"female",76154.5117645722,2019
"60",5,"female",96812.7752972251,2019
"61",10,"female",97488.3436480346,2019
"62",15,"female",98314.8599539908,2019
"63",20,"female",103693.576283132,2019
"64",25,"female",106651.697012143,2019
"65",30,"female",98703.6222362014,2019
"66",35,"female",93269.9560157273,2019
"67",40,"female",84478.4875257773,2019
"68",45,"female",75649.9083301076,2019
"69",50,"female",64643.7595937819,2019
"70",55,"female",49850.5257101769,2019
"71",60,"female",41177.6651022881,2019
"72",65,"female",29838.1300061065,2019
"73",70,"female",21440.2417523336,2019
"74",75,"female",14405.2044954366,2019
"75",80,"female",9450.60285128353,2019
"76",85,"female",9236.02256418746,2019
"77",0,"male",17002.0418176291,2021
"78",1,"male",78238.6445786619,2021
"79",5,"male",101130.19099286,2021
"80",10,"male",102264.456590505,2021
"81",15,"male",101043.26258536,2021
"82",20,"male",108240.327198964,2021
"83",25,"male",111267.832438295,2021
"84",30,"male",98715.3877651143,2021
"85",35,"male",91672.3594277167,2021
"86",40,"male",83741.2062732,2021
"87",45,"male",76771.2644832111,2021
"88",50,"male",63035.7584478895,2021
"89",55,"male",49689.9467096534,2021
"90",60,"male",41180.972273587,2021
"91",65,"male",29011.6127022704,2021
"92",70,"male",20139.4810262893,2021
"93",75,"male",13418.3528493509,2021
"94",80,"male",8109.65907089568,2021
"95",85,"male",6825.47406716228,2021
"96",0,"female",17162.3125976731,2021
"97",1,"female",77174.8905312244,2021
"98",5,"female",98166.5064624716,2021
"99",10,"female",99042.0033243761,2021
"100",15,"female",99067.84579475,2021
"101",20,"female",107425.104210539,2021
"102",25,"female",113192.025880071,2021
"103",30,"female",104104.643029628,2021
"104",35,"female",98413.9005145212,2021
"105",40,"female",90826.0479552142,2021
"106",45,"female",83178.024176771,2021
"107",50,"female",71697.3008999243,2021
"108",55,"female",55966.6668637466,2021
"109",60,"female",46835.7319540846,2021
"110",65,"female",33836.805324706,2021
"111",70,"female",23806.2082619797,2021
"112",75,"female",15991.0798497312,2021
"113",80,"female",10390.8593484804,2021
"114",85,"female",10210.3717439447,2021
