age,contrib,period
0,-0.000544563261258199,2019→2021
0,-0.000489845436105562,2019→2021
1,-7.47807904471663e-05,2019→2021
1,1.66096876292341e-05,2019→2021
5,1.75813207566376e-05,2019→2021
5,3.41784155710379e-06,2019→2021
10,7.32202395394288e-06,2019→2021
10,-9.27197175973251e-06,2019→2021
15,-5.85266036239981e-06,2019→2021
15,-1.90082433816291e-05,2019→2021
20,9.4453728653663e-05,2019→2021
20,6.90626911459044e-05,2019→2021
25,0.000280795694874668,2019→2021
25,0.000141686011056577,2019→2021
30,0.00051119250112577,2019→2021
30,0.000147084218588373,2019→2021
35,0.000896019685256906,2019→2021
35,0.000330767204372482,2019→2021
40,0.00113774095360764,2019→2021
40,0.000476021941724359,2019→2021
45,0.00205582744053302,2019→2021
45,0.000991430903263189,2019→2021
50,0.00241471516361684,2019→2021
50,0.00114642457381756,2019→2021
55,0.00382532648348859,2019→2021
55,0.00222970253552604,2019→2021
60,0.00528803470400625,2019→2021
60,0.00288380953035829,2019→2021
65,0.00647773488142015,2019→2021
65,0.00376610693339823,2019→2021
70,0.00956099715165042,2019→2021
70,0.0055304684061866,2019→2021
75,0.0106706861548666,2019→2021
75,0.00661266127584558,2019→2021
80,0.010655524514492,2019→2021
80,0.007030169425926,2019→2021
85,0.0154537249634885,2019→2021
85,0.00545767418380281,2019→2021
