"","year","sex","age","pop"
"1",2010,"male",0,17801.058637048
"2",2010,"male",1,73840.4956796025
"3",2010,"male",5,93916.1732064957
"4",2010,"male",10,93133.4544831079
"5",2010,"male",15,93587.7738450743
"6",2010,"male",20,81311.0774719373
"7",2010,"male",25,72849.2534353121
"8",2010,"male",30,68582.0764568426
"9",2010,"male",35,66211.7583665832
"10",2010,"male",40,54158.6959144141
"11",2010,"male",45,44799.3141139041
"12",2010,"male",50,36897.5822397031
"13",2010,"male",55,27110.07243734
"14",2010,"male",60,20258.0096876824
"15",2010,"male",65,14865.6115843426
"16",2010,"male",70,11505.0586097971
"17",2010,"male",75,7617.65635297137
"18",2010,"male",80,4675.1577802354
"19",2010,"male",85,4067.71969760624
"20",2020,"male",0,17094.241542543
"21",2020,"male",1,77707.3891383884
"22",2020,"male",5,100252.651731373
"23",2020,"male",10,101144.272285898
"24",2020,"male",15,100135.306843994
"25",2020,"male",20,104654.589429696
"26",2020,"male",25,105854.11494512
"27",2020,"male",30,94570.9526971962
"28",2020,"male",35,88226.3051967193
"29",2020,"male",40,79551.8100605157
"30",2020,"male",45,72052.7696936068
"31",2020,"male",50,59182.9440966864
"32",2020,"male",55,46267.9858507742
"33",2020,"male",60,37880.3337726067
"34",2020,"male",65,26814.8111875986
"35",2020,"male",70,18854.4148532191
"36",2020,"male",75,12552.8941062232
"37",2020,"male",80,7600.33809020131
"38",2020,"male",85,6421.87447764041
"39",2010,"female",0,16834.5829785184
"40",2010,"female",1,71717.3977298269
"41",2010,"female",5,90935.3444208971
"42",2010,"female",10,90778.2659506149
"43",2010,"female",15,94989.1772501044
"44",2010,"female",20,88410.0059371287
"45",2010,"female",25,81542.8574286356
"46",2010,"female",30,77620.9302379347
"47",2010,"female",35,73212.6639373214
"48",2010,"female",40,60930.335857175
"49",2010,"female",45,49315.5912757281
"50",2010,"female",50,40520.2038531933
"51",2010,"female",55,29579.0842500722
"52",2010,"female",60,23039.1825546672
"53",2010,"female",65,16921.1775198279
"54",2010,"female",70,13371.8082394117
"55",2010,"female",75,8993.74933692965
"56",2010,"female",80,6161.30230549401
"57",2010,"female",85,5875.33893651864
"58",2020,"female",0,17123.3890804926
"59",2020,"female",1,76511.2134639053
"60",2020,"female",5,97285.9208250464
"61",2020,"female",10,98031.0264231024
"62",2020,"female",15,98578.5737401126
"63",2020,"female",20,104988.688118005
"64",2020,"female",25,108903.751718019
"65",2020,"female",30,100567.193391452
"66",2020,"female",35,95044.5870273948
"67",2020,"female",40,86654.8785033889
"68",2020,"female",45,78212.0197819442
"69",2020,"female",50,67037.4414789323
"70",2020,"female",55,51917.714558488
"71",2020,"female",60,43081.7449427796
"72",2020,"female",65,31185.1262217322
"73",2020,"female",70,22242.8562111465
"74",2020,"female",75,14943.2281515912
"75",2020,"female",80,9770.61082349864
"76",2020,"female",85,9567.03553896921
