"year","sex","age","deaths"
2010,"male",0,268.851704648675
2010,"male",1,50.0492031476777
2010,"male",5,27.3575636275006
2010,"male",10,34.36384227474
2010,"male",15,109.098684099347
2010,"male",20,125.113846764389
2010,"male",25,114.426914375741
2010,"male",30,142.457683364035
2010,"male",35,176.822562006823
2010,"male",40,189.82951196528
2010,"male",45,229.537095564089
2010,"male",50,274.106180797129
2010,"male",55,297.266634046238
2010,"male",60,309.615026051537
2010,"male",65,344.629926759941
2010,"male",70,342.969893393494
2010,"male",75,356.314147751217
2010,"male",80,363.981446969865
2010,"male",85,581.82705770334
2019,"male",0,216.395556871803
2019,"male",1,46.5261351167013
2019,"male",5,22.0111912648843
2019,"male",10,31.0168679022253
2019,"male",15,88.045598322901
2019,"male",20,169.100021112422
2019,"male",25,184.112954105339
2019,"male",30,205.125644083559
2019,"male",35,223.629998526346
2019,"male",40,275.665389250336
2019,"male",45,344.212714792283
2019,"male",50,378.229669503001
2019,"male",55,435.749734565056
2019,"male",60,495.279301150892
2019,"male",65,484.274955413495
2019,"male",70,510.80565026432
2019,"male",75,509.799649607383
2019,"male",80,516.810406829804
2019,"male",85,842.98177086632
2021,"male",0,195.972605917461
2021,"male",1,35.0269832141077
2021,"male",5,26.0200446733371
2021,"male",10,33.0254413161587
2021,"male",15,88.0678435097565
2021,"male",20,199.153418845927
2021,"male",25,263.202759580295
2021,"male",30,323.249016518765
2021,"male",35,407.313776232624
2021,"male",40,496.382390691355
2021,"male",45,709.546602822924
2021,"male",50,737.568189394211
2021,"male",55,891.686915536284
2021,"male",60,1035.79793218861
2021,"male",65,964.743194811423
2021,"male",70,1009.77788751528
2021,"male",75,913.703876413723
2021,"male",80,800.616759179604
2021,"male",85,1253.96599906506
2010,"female",0,207.499142236665
2010,"female",1,36.685058142299
2010,"female",5,21.0122789011268
2010,"female",10,27.3471569355674
2010,"female",15,44.3605195100967
2010,"female",20,46.691608505525
2010,"female",25,48.0271930491247
2010,"female",30,49.6940466338933
2010,"female",35,70.7050034534175
2010,"female",40,99.7195277584715
2010,"female",45,130.740305510728
2010,"female",50,176.226166562673
2010,"female",55,201.109669529727
2010,"female",60,234.788640742123
2010,"female",65,277.815525191627
2010,"female",70,288.155598066543
2010,"female",75,344.521402521244
2010,"female",80,385.200560090966
2010,"female",85,778.415004680455
2019,"female",0,167.726790450928
2019,"female",1,30
2019,"female",5,21
2019,"female",10,24.5
2019,"female",15,46.5
2019,"female",20,50
2019,"female",25,64
2019,"female",30,71.5
2019,"female",35,91.5
2019,"female",40,125.5
2019,"female",45,155.5
2019,"female",50,233.5
2019,"female",55,285
2019,"female",60,355
2019,"female",65,399.5
2019,"female",70,408
2019,"female",75,440.5
2019,"female",80,531.5
2019,"female",85,1223
2021,"female",0,151.198246147489
2021,"female",1,33.0043402901295
2021,"female",5,22.002893526753
2021,"female",10,23.0030250506963
2021,"female",15,43.0056555295627
2021,"female",20,67.0088121042023
2021,"female",25,101.013283918275
2021,"female",30,107.014073061935
2021,"female",35,164.021569926704
2021,"female",40,225.029592887247
2021,"female",45,344.045244236502
2021,"female",50,433.056949867457
2021,"female",55,588.077336078671
2021,"female",60,700.092066760323
2021,"female",65,741.097459241999
2021,"female",70,764.100484292695
2021,"female",75,756.099432101149
2021,"female",80,791.104035439165
2021,"female",85,1550.20386211214
