"year","sex","age","deaths"
1990,"male",0,750.383592728333
1990,"male",1,188.762894424946
1990,"male",5,54.2960921422701
1990,"male",10,38.4967261268674
1990,"male",15,76.6527732614616
1990,"male",20,99.7346447497319
1990,"male",25,107.121635062067
1990,"male",30,97.2548870573493
1990,"male",35,87.7420715679927
1990,"male",40,113.464034900241
1990,"male",45,159.558799078464
1990,"male",50,142.158085903074
1990,"male",55,185.02373872937
1990,"male",60,143.392511963041
1990,"male",65,166.730845832711
1990,"male",70,150.947689286927
1990,"male",75,188.486182314821
1990,"male",80,196.612109620087
1990,"male",85,334.790583923347
1991,"male",0,613.561849522205
1991,"male",1,105.815012306111
1991,"male",5,33.7840220696155
1991,"male",10,40.3104808785185
1991,"male",15,73.5666276032962
1991,"male",20,95.7373920864814
1991,"male",25,86.6675338888147
1991,"male",30,105.815012306111
1991,"male",35,118.91591859163
1991,"male",40,114.884870503778
1991,"male",45,140.078921052852
1991,"male",50,119.923680613592
1991,"male",55,166.280733623889
1991,"male",60,170.933357557404
1991,"male",65,162.811103133047
1991,"male",70,146.607755538374
1991,"male",75,185.968819073375
1991,"male",80,204.565810438658
1991,"male",85,299.916541179468
1992,"male",0,614.867747611745
1992,"male",1,92.624121068803
1992,"male",5,40.2713569864361
1992,"male",10,37.2510052124534
1992,"male",15,95.6444728427858
1992,"male",20,99.6716085414294
1992,"male",25,112.759799562021
1992,"male",30,104.399411430884
1992,"male",35,129.875126281256
1992,"male",40,112.24280241152
1992,"male",45,144.68637038684
1992,"male",50,151.309599621007
1992,"male",55,176.45444218475
1992,"male",60,170.146483267693
1992,"male",65,158.644069124772
1992,"male",70,190.282161760911
1992,"male",75,154.037940473118
1992,"male",80,215.977251974695
1992,"male",85,315.407474567465
1993,"male",0,545.145426167312
1993,"male",1,77.5309221295845
1993,"male",5,29.1897120859804
1993,"male",10,41.2682136387999
1993,"male",15,85.5560526658046
1993,"male",20,79.5168018893949
1993,"male",25,110.719597567512
1993,"male",30,97.6345542186241
1993,"male",35,121.791557324263
1993,"male",40,143.64002427076
1993,"male",45,132.863517081014
1993,"male",50,164.066312759131
1993,"male",55,129.843891692809
1993,"male",60,166.079396351268
1993,"male",65,194.837307962603
1993,"male",70,192.249483049043
1993,"male",75,166.079396351268
1993,"male",80,195.269108437248
1993,"male",85,307.441461823795
1994,"male",0,518.469862579606
1994,"male",1,77.5459913063812
1994,"male",5,31.2198146817898
1994,"male",10,32.2269054779766
1994,"male",15,63.4467201597665
1994,"male",20,113.801259969105
1994,"male",25,119.60838092374
1994,"male",30,121.857986338599
1994,"male",35,132.935985096654
1994,"male",40,140.992711466148
1994,"male",45,136.964348281401
1994,"male",50,156.099073408949
1994,"male",55,145.021074650895
1994,"male",60,168.18416296319
1994,"male",65,185.304706498366
1994,"male",70,198.396886848794
1994,"male",75,143.006893058521
1994,"male",80,195.375614460233
1994,"male",85,302.127238856031
1995,"male",0,552.40997310008
1995,"male",1,89.5528007393573
1995,"male",5,40.2484497704977
1995,"male",10,42.2608722590225
1995,"male",15,71.4409983426333
1995,"male",20,97.6024906934568
1995,"male",25,113.701870601656
1995,"male",30,117.726715578706
1995,"male",35,137.850940463954
1995,"male",40,138.857151708217
1995,"male",45,160.993799081991
1995,"male",50,155.962742860678
1995,"male",55,146.906841662316
1995,"male",60,189.716026135604
1995,"male",65,186.149080188552
1995,"male",70,212.310572539375
1995,"male",75,204.260882585276
1995,"male",80,204.260882585276
1995,"male",85,377.7536589118
1996,"male",0,507.686669412161
1996,"male",1,98.890876382429
1996,"male",5,36.3272607119127
1996,"male",10,31.2818078352582
1996,"male",15,60.5454345198545
1996,"male",20,102.927238683753
1996,"male",25,107.972691560407
1996,"male",30,101.918148108422
1996,"male",35,114.027235012393
1996,"male",40,127.145412491694
1996,"male",45,138.245408820334
1996,"male",50,134.209046519011
1996,"male",55,163.472673203607
1996,"male",60,166.4999449296
1996,"male",65,207.872658518167
1996,"male",70,188.69993758688
1996,"male",75,197.781752764858
1996,"male",80,188.69993758688
1996,"male",85,433.908947392291
1997,"male",0,467.259611702723
1997,"male",1,72.4047337283022
1997,"male",5,38.213609467715
1997,"male",10,37.2079881659331
1997,"male",15,71.3991124265202
1997,"male",20,117.657692308491
1997,"male",25,97.5452662728515
1997,"male",30,103.578994083543
1997,"male",35,122.685798817401
1997,"male",40,119.668934912055
1997,"male",45,148.831952663732
1997,"male",50,159.893786983334
1997,"male",55,175.983727811846
1997,"male",60,161.905029586898
1997,"male",65,209.169230770651
1997,"male",70,230.287278108072
1997,"male",75,226.264792900944
1997,"male",80,209.169230770651
1997,"male",85,396.214792902098
1998,"male",0,414.00876820533
1998,"male",1,73.4216277976538
1998,"male",5,36.2079260371991
1998,"male",10,41.2368046534768
1998,"male",15,86.4967121999756
1998,"male",20,102.589123772064
1998,"male",25,119.687311067408
1998,"male",30,128.739292576708
1998,"male",35,143.825928425541
1998,"male",40,168.970321506929
1998,"male",45,156.901012827863
1998,"male",50,162.935667167396
1998,"male",55,204.172471820873
1998,"male",60,209.20135043715
1998,"male",65,203.166696097617
1998,"male",70,246.415052197605
1998,"male",75,234.345743518539
1998,"male",80,209.20135043715
1998,"male",85,367.108138988269
1999,"male",0,408.471380386077
1999,"male",1,67.621660287628
1999,"male",5,25.231962793891
1999,"male",10,38.3525834467144
1999,"male",15,74.6866098699175
1999,"male",20,86.7979520109852
1999,"male",25,105.974243734342
1999,"male",30,115.057750340143
1999,"male",35,162.493840392658
1999,"male",40,148.363941228079
1999,"male",45,178.642296580749
1999,"male",50,154.419612298613
1999,"male",55,215.985601515707
1999,"male",60,169.558789974948
1999,"male",65,253.328906450666
1999,"male",70,226.078386633264
1999,"male",75,263.421691568223
1999,"male",80,193.233373247111
1999,"male",85,365.358821255542
2000,"male",0,384.36473358846
2000,"male",1,58.5122166617604
2000,"male",5,20.1766264350898
2000,"male",10,44.3885781571975
2000,"male",15,85.7506623491316
2000,"male",20,109.962614071239
2000,"male",25,118.033264645275
2000,"male",30,124.086252575802
2000,"male",35,158.386517515455
2000,"male",40,166.457168089491
2000,"male",45,197.73093906388
2000,"male",50,197.73093906388
2000,"male",55,215.889902855461
2000,"male",60,221.942890785988
2000,"male",65,248.172505151604
2000,"male",70,247.16367382985
2000,"male",75,262.296143656167
2000,"male",80,193.695613776862
2000,"male",85,372.258757727407
2001,"male",0,349.172298354234
2001,"male",1,46.3496671845112
2001,"male",5,35.2660511186499
2001,"male",10,48.364870105577
2001,"male",15,99.7525445927525
2001,"male",20,111.843762119147
2001,"male",25,120.912175263942
2001,"male",30,146.102211777264
2001,"male",35,145.812900466814
2001,"male",40,164.239038066855
2001,"male",45,193.459480422308
2001,"male",50,189.429074580176
2001,"male",55,213.611509632965
2001,"male",60,237.793944685753
2001,"male",65,226.710328619892
2001,"male",70,249.436836169034
2001,"male",75,266.600550727059
2001,"male",80,224.695125698826
2001,"male",85,376.842946239287
2002,"male",0,352.679513539549
2002,"male",1,45.2736580885256
2002,"male",5,34.2067638891082
2002,"male",10,40.2432516342449
2002,"male",15,81.492584559346
