"lt_desc","year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"LT VR/Census, MEX",2010,"m",0,0.015104,0.014899,0.09,1e+05,1490,98638,7389284,73.89
"LT VR/Census, MEX",2010,"m",1,0.000678,0.002707,1.61,98510,267,393403,7290646,74.01
"LT VR/Census, MEX",2010,"m",5,0.000291,0.001455,2.5,98244,143,490860,6897243,70.21
"LT VR/Census, MEX",2010,"m",10,0.000369,0.001843,2.5,98101,181,490051,6406383,65.3
"LT VR/Census, MEX",2010,"m",15,0.001166,0.005811,2.5,97920,569,488176,5916332,60.42
"LT VR/Census, MEX",2010,"m",20,0.001538,0.00766,2.5,97351,746,484890,5428156,55.76
"LT VR/Census, MEX",2010,"m",25,0.001569,0.007817,2.5,96605,755,481137,4943267,51.17
"LT VR/Census, MEX",2010,"m",30,0.002076,0.010325,2.5,95850,990,476775,4462129,46.55
"LT VR/Census, MEX",2010,"m",35,0.002669,0.013256,2.5,94860,1257,471157,3985354,42.01
"LT VR/Census, MEX",2010,"m",40,0.003502,0.017359,2.5,93603,1625,463952,3514196,37.54
"LT VR/Census, MEX",2010,"m",45,0.005119,0.025269,2.5,91978,2324,454079,3050245,33.16
"LT VR/Census, MEX",2010,"m",50,0.007421,0.036431,2.5,89654,3266,440103,2596166,28.96
"LT VR/Census, MEX",2010,"m",55,0.010953,0.053304,2.5,86387,4605,420425,2156063,24.96
"LT VR/Census, MEX",2010,"m",60,0.015263,0.073512,2.5,81783,6012,393883,1735638,21.22
"LT VR/Census, MEX",2010,"m",65,0.023154,0.109436,2.5,75771,8292,358123,1341754,17.71
"LT VR/Census, MEX",2010,"m",70,0.029779,0.138579,2.5,67479,9351,314015,983631,14.58
"LT VR/Census, MEX",2010,"m",75,0.046725,0.209191,2.5,58127,12160,260238,669616,11.52
"LT VR/Census, MEX",2010,"m",80,0.077774,0.32557,2.5,45968,14966,192424,409378,8.91
"LT VR/Census, MEX",2010,"m",85,0.142897,1,NA,31002,31002,216953,216953,7
"LT VR/Census, MEX",2019,"m",0,0.012622,0.012477,0.08,1e+05,1248,98851,7518630,75.19
"LT VR/Census, MEX",2019,"m",1,0.000601,0.0024,1.62,98752,237,394444,7419780,75.14
"LT VR/Census, MEX",2019,"m",5,0.000221,0.001102,2.5,98515,109,492305,7025336,71.31
"LT VR/Census, MEX",2019,"m",10,0.000308,0.001541,2.5,98407,152,491654,6533031,66.39
"LT VR/Census, MEX",2019,"m",15,0.000884,0.004408,2.5,98255,433,490192,6041377,61.49
"LT VR/Census, MEX",2019,"m",20,0.001646,0.008194,2.5,97822,802,487106,5551184,56.75
"LT VR/Census, MEX",2019,"m",25,0.001787,0.008895,2.5,97020,863,482944,5064079,52.2
"LT VR/Census, MEX",2019,"m",30,0.00222,0.011038,2.5,96157,1061,478133,4581135,47.64
"LT VR/Census, MEX",2019,"m",35,0.002588,0.012856,2.5,95096,1223,472423,4103001,43.15
"LT VR/Census, MEX",2019,"m",40,0.003563,0.017657,2.5,93873,1657,465223,3630578,38.68
"LT VR/Census, MEX",2019,"m",45,0.004944,0.024418,2.5,92216,2252,455450,3165355,34.33
"LT VR/Census, MEX",2019,"m",50,0.006613,0.032526,2.5,89964,2926,442505,2709905,30.12
"LT VR/Census, MEX",2019,"m",55,0.009789,0.047774,2.5,87038,4158,424795,2267399,26.05
"LT VR/Census, MEX",2019,"m",60,0.013679,0.066135,2.5,82880,5481,400696,1842605,22.23
"LT VR/Census, MEX",2019,"m",65,0.018846,0.08999,2.5,77399,6965,369580,1441909,18.63
"LT VR/Census, MEX",2019,"m",70,0.028076,0.131173,2.5,70433,9239,329070,1072329,15.22
"LT VR/Census, MEX",2019,"m",75,0.042104,0.19047,2.5,61194,11656,276833,743259,12.15
"LT VR/Census, MEX",2019,"m",80,0.070427,0.299418,2.5,49539,14833,210612,466426,9.42
"LT VR/Census, MEX",2019,"m",85,0.135668,1,NA,34706,34706,255815,255815,7.37
"LT VR/Census, MEX",2021,"m",0,0.011526,0.011405,0.08,1e+05,1140,98946,6873388,68.73
"LT VR/Census, MEX",2021,"m",1,0.000448,0.001789,1.62,98860,177,395017,6774442,68.53
"LT VR/Census, MEX",2021,"m",5,0.000257,0.001286,2.5,98683,127,493096,6379425,64.65
"LT VR/Census, MEX",2021,"m",10,0.000323,0.001613,2.5,98556,159,492381,5886329,59.73
"LT VR/Census, MEX",2021,"m",15,0.000872,0.004348,2.5,98397,428,490914,5393947,54.82
"LT VR/Census, MEX",2021,"m",20,0.00184,0.009157,2.5,97969,897,487602,4903033,50.05
"LT VR/Census, MEX",2021,"m",25,0.002365,0.011758,2.5,97072,1141,482505,4415431,45.49
"LT VR/Census, MEX",2021,"m",30,0.003275,0.01624,2.5,95930,1558,475757,3932926,41
"LT VR/Census, MEX",2021,"m",35,0.004443,0.021972,2.5,94373,2074,466679,3457169,36.63
"LT VR/Census, MEX",2021,"m",40,0.005928,0.029205,2.5,92299,2696,454756,2990490,32.4
"LT VR/Census, MEX",2021,"m",45,0.009242,0.045168,2.5,89603,4047,437899,2535734,28.3
"LT VR/Census, MEX",2021,"m",50,0.011701,0.056841,2.5,85556,4863,415623,2097835,24.52
"LT VR/Census, MEX",2021,"m",55,0.017945,0.085873,2.5,80693,6929,386142,1682212,20.85
